kind	assemblyA	assemblyB	depth_per_hap	n_placed	n_unplaced	self_cov_A_pct	self_cov_B_pct	cov_rank_A	cov_rank_B	het_frac	n_sites	pair_acc	hap_acc	homo_pred
within	TME204-hap1-v2	TME204-hap2-v2	250000	347525	5129	67.21326207822086	68.49597392638037	0	1	1.0	333824	0.5800391823236196	0.6801862658167178	0.0006230828220858896
within	COL386-hap1-v3	COL386-hap2-v3	250000	365468	4517	70.37134961790393	71.70953875545851	0	1	1.0	351744	0.8964559452328966	0.9213931154475983	0.01035980713245997
within	TMe-3055-G9-hap1-v2	TMe-3055-G9-hap2-v2	250000	359400	7849	67.39034681008901	68.16869899851632	0	1	1.0	345088	0.6344410701038575	0.7139425306008902	0.002040059347181009
within	IITA-TMS-IBA000070-hap1-v2	IITA-TMS-IBA000070-hap2-v2	250000	328771	5370	69.10162591314936	70.5946885146104	0	1	1.0	315392	0.6882672991071429	0.7528979809253247	0.0019372717126623377
within	BGM-2098-hap1-v2	BGM-2098-hap2-v2	250000	366702	6872	68.95720108695652	69.57653985507247	0	1	1.0	353280	0.8422724184782608	0.8791907269021739	0.005225317028985507
cross	TMEB693-hap2-v2	TMe-2497-G5-hap1-v2	250000	345125	4230	90.17991871105919	90.31621154595015	0	1	1.0	328704	0.921725929711838	0.9404418565031153	0.0
cross	TMEB693-hap1-v2	TMe-2497-G5-hap2-v2	250000	344232	4675	89.83919372083982	90.1563107503888	0	1	1.0	329216	0.9038321345256609	0.9232069522744946	0.0
cross	TMEB693-hap2-v2	CR63-hap1-v2	250000	343815	6041	84.48482525311528	84.69048140576324	0	1	1.0	328704	0.780373831775701	0.8435522536993769	0.0
cross	DSC493-12-1-hap2-v2	COL40-DSC118-hap2-v2	250000	357501	4822	88.44590807174887	88.41642143124065	0	1	1.0	342528	0.9679938574364724	0.9790820020553064	0.0003211416292974589
