dataset_id	individual	arm	source_assemblies	b73_hit_ratio	b73_similarity_to_source	fit_slope	fit_intercept	b73_predicted_hit_ratio	b73_residual
IDX-RIL	Oh43xIl14H	refmap	Oh43,Il14H	0.3949	0.9837	34.3523	-33.3922	0.3998	-0.0048
MIX-HYB	B73xTx303	chain_ordinary_256	B73,Tx303	0.8919	0.9924	21.0754	-20.3058	0.6085	0.2835
MIX-HYB	B73xTx303	chain_ordinary_5000	B73,Tx303	0.8680	0.9924	20.7764	-20.0129	0.6047	0.2633
MIX-HYB	B73xTx303	refmap	B73,Tx303	0.6950	0.9924	18.4246	-17.7355	0.5482	0.1468
MIX-HYB	B97xCML459	chain_ordinary_256	B97,CML459	0.7216	0.9835	31.5119	-30.4890	0.5033	0.2183
MIX-HYB	B97xCML459	chain_ordinary_5000	B97,CML459	0.6772	0.9835	31.5933	-30.5749	0.4974	0.1798
MIX-HYB	B97xCML459	refmap	B97,CML459	0.4022	0.9835	33.7630	-32.7870	0.4191	-0.0170
MIX-HYB	CML103xIa453	chain_ordinary_256	CML103,Ia453	0.6771	0.9827	26.6180	-25.6936	0.4639	0.2132
MIX-HYB	CML103xIa453	chain_ordinary_5000	CML103,Ia453	0.6328	0.9827	27.1202	-26.1934	0.4575	0.1753
MIX-HYB	CML103xIa453	refmap	CML103,Ia453	0.3713	0.9827	32.2619	-31.3265	0.3772	-0.0059
MIX-HYB	Il14HxEP1	chain_ordinary_256	Il14H,EP1	0.6832	0.9825	26.8895	-25.9476	0.4718	0.2114
MIX-HYB	Il14HxEP1	chain_ordinary_5000	Il14H,EP1	0.6404	0.9825	27.1577	-26.2169	0.4660	0.1743
MIX-HYB	Il14HxEP1	refmap	Il14H,EP1	0.3605	0.9825	31.6706	-30.7368	0.3802	-0.0196
MIX-HYB	Oh43xA188	chain_ordinary_256	Oh43,A188	0.7297	0.9829	30.3886	-29.3691	0.5004	0.2293
MIX-HYB	Oh43xA188	chain_ordinary_5000	Oh43,A188	0.6865	0.9829	30.4968	-29.4809	0.4949	0.1916
MIX-HYB	Oh43xA188	refmap	Oh43,A188	0.4027	0.9829	32.4950	-31.5271	0.4128	-0.0101
MIX-RIL	B73xTx303	chain_ordinary_256	B73,Tx303	0.8809	0.9924	21.8040	-21.0175	0.6197	0.2612
MIX-RIL	B73xTx303	chain_ordinary_5000	B73,Tx303	0.8542	0.9924	21.4989	-20.7189	0.6157	0.2385
MIX-RIL	B73xTx303	refmap	B73,Tx303	0.6739	0.9924	19.0630	-18.3612	0.5561	0.1179
MIX-RIL	B97xCML459	chain_ordinary_256	B97,CML459	0.7211	0.9835	32.2017	-31.1647	0.5059	0.2152
MIX-RIL	B97xCML459	chain_ordinary_5000	B97,CML459	0.6769	0.9835	32.2529	-31.2210	0.4999	0.1770
MIX-RIL	B97xCML459	refmap	B97,CML459	0.4033	0.9835	34.3094	-33.3210	0.4225	-0.0192
MIX-RIL	CML103xIa453	chain_ordinary_256	CML103,Ia453	0.6779	0.9827	27.1476	-26.2138	0.4641	0.2138
MIX-RIL	CML103xIa453	chain_ordinary_5000	CML103,Ia453	0.6329	0.9827	27.6931	-26.7564	0.4576	0.1752
MIX-RIL	CML103xIa453	refmap	CML103,Ia453	0.3727	0.9827	33.1009	-32.1500	0.3782	-0.0055
MIX-RIL	Il14HxEP1	chain_ordinary_256	Il14H,EP1	0.6851	0.9825	26.3941	-25.4587	0.4739	0.2112
MIX-RIL	Il14HxEP1	chain_ordinary_5000	Il14H,EP1	0.6424	0.9825	26.6372	-25.7036	0.4679	0.1746
MIX-RIL	Il14HxEP1	refmap	Il14H,EP1	0.3626	0.9825	31.2543	-30.3262	0.3817	-0.0191
MIX-RIL	Oh43xA188	chain_ordinary_256	Oh43,A188	0.7247	0.9829	29.5932	-28.5859	0.5017	0.2230
MIX-RIL	Oh43xA188	chain_ordinary_5000	Oh43,A188	0.6809	0.9829	29.6548	-28.6521	0.4961	0.1848
MIX-RIL	Oh43xA188	refmap	Oh43,A188	0.3939	0.9829	31.6071	-30.6554	0.4118	-0.0178
OUT-HYB	A188xEP1	chain_ordinary_256	A188,EP1	0.7364	0.9817	22.0653	-21.1701	0.4924	0.2440
OUT-HYB	A188xEP1	chain_ordinary_5000	A188,EP1	0.6933	0.9817	20.8902	-20.0237	0.4851	0.2082
OUT-HYB	A188xEP1	refmap	A188,EP1	0.3790	0.9817	18.4243	-17.7027	0.3852	-0.0063
OUT-HYB	CML459xIa453	chain_ordinary_256	CML459,Ia453	0.7126	0.9820	23.5753	-22.6719	0.4793	0.2332
OUT-HYB	CML459xIa453	chain_ordinary_5000	CML459,Ia453	0.6693	0.9820	23.5202	-22.6238	0.4733	0.1961
OUT-HYB	CML459xIa453	refmap	CML459,Ia453	0.3793	0.9820	27.8167	-26.9297	0.3866	-0.0073
OUT-HYB	EP1xIa453	chain_ordinary_256	EP1,Ia453	0.7045	0.9817	23.6536	-22.7528	0.4690	0.2354
OUT-HYB	EP1xIa453	chain_ordinary_5000	EP1,Ia453	0.6616	0.9817	23.8192	-22.9212	0.4632	0.1984
OUT-HYB	EP1xIa453	refmap	EP1,Ia453	0.3701	0.9817	28.3085	-27.4172	0.3745	-0.0044
OUT-HYB	Tx303xA188	chain_ordinary_256	Tx303,A188	0.7412	0.9831	22.9226	-22.0264	0.5089	0.2323
OUT-HYB	Tx303xA188	chain_ordinary_5000	Tx303,A188	0.6962	0.9831	22.3227	-21.4438	0.5018	0.1944
OUT-HYB	Tx303xA188	refmap	Tx303,A188	0.3953	0.9831	15.9666	-15.2927	0.4041	-0.0088
OUT-HYB	Tx303xCML459	chain_ordinary_256	Tx303,CML459	0.7290	0.9836	16.8730	-16.0944	0.5022	0.2268
OUT-HYB	Tx303xCML459	chain_ordinary_5000	Tx303,CML459	0.6826	0.9836	17.2692	-16.4904	0.4959	0.1867
OUT-HYB	Tx303xCML459	refmap	Tx303,CML459	0.3921	0.9836	16.5334	-15.8541	0.4083	-0.0162
OUT-INBRED	A188	chain_ordinary_256	A188	0.7540	0.9815	22.9327	-22.0069	0.5017	0.2523
OUT-INBRED	A188	chain_ordinary_5000	A188	0.7114	0.9815	22.0187	-21.1166	0.4949	0.2166
OUT-INBRED	A188	refmap	A188	0.3904	0.9815	16.6946	-15.9945	0.3914	-0.0010
OUT-INBRED	CML459	chain_ordinary_256	CML459	0.7321	0.9825	13.1052	-12.3814	0.4948	0.2373
OUT-INBRED	CML459	chain_ordinary_5000	CML459	0.6869	0.9825	13.3645	-12.6425	0.4885	0.1984
OUT-INBRED	CML459	refmap	CML459	0.3845	0.9825	11.7108	-11.1106	0.3956	-0.0111
OUT-INBRED	EP1	chain_ordinary_256	EP1	0.7163	0.9820	15.1259	-14.3767	0.4768	0.2395
OUT-INBRED	EP1	chain_ordinary_5000	EP1	0.6730	0.9820	14.8476	-14.1102	0.4701	0.2029
OUT-INBRED	EP1	refmap	EP1	0.3653	0.9820	16.4572	-15.7866	0.3742	-0.0089
OUT-INBRED	Ia453	chain_ordinary_256	Ia453	0.6926	0.9815	24.2990	-23.3932	0.4563	0.2363
OUT-INBRED	Ia453	chain_ordinary_5000	Ia453	0.6510	0.9815	24.5939	-23.6881	0.4509	0.2001
OUT-INBRED	Ia453	refmap	Ia453	0.3739	0.9815	29.6474	-28.7330	0.3661	0.0078
OUT-INBRED	Tx303	chain_ordinary_256	Tx303	0.7278	0.9847	15.0811	-14.3439	0.5065	0.2213
OUT-INBRED	Tx303	chain_ordinary_5000	Tx303	0.6799	0.9847	15.3273	-14.5932	0.4997	0.1802
OUT-INBRED	Tx303	refmap	Tx303	0.4009	0.9847	15.3330	-14.6810	0.4175	-0.0166
OUT-RIL	A188xEP1	chain_ordinary_256	A188,EP1	0.7417	0.9817	20.8300	-19.9583	0.4915	0.2502
OUT-RIL	A188xEP1	chain_ordinary_5000	A188,EP1	0.6991	0.9817	19.7144	-18.8701	0.4844	0.2147
OUT-RIL	A188xEP1	refmap	A188,EP1	0.3860	0.9817	17.0485	-16.3513	0.3860	-0.0000
OUT-RIL	CML459xIa453	chain_ordinary_256	CML459,Ia453	0.7054	0.9820	30.2184	-29.1947	0.4802	0.2252
OUT-RIL	CML459xIa453	chain_ordinary_5000	CML459,Ia453	0.6625	0.9820	30.1900	-29.1728	0.4743	0.1883
OUT-RIL	CML459xIa453	refmap	CML459,Ia453	0.3753	0.9820	35.5359	-34.5084	0.3884	-0.0130
OUT-RIL	EP1xIa453	chain_ordinary_256	EP1,Ia453	0.6986	0.9817	25.8106	-24.8720	0.4674	0.2312
OUT-RIL	EP1xIa453	chain_ordinary_5000	EP1,Ia453	0.6561	0.9817	25.9965	-25.0605	0.4615	0.1946
OUT-RIL	EP1xIa453	refmap	EP1,Ia453	0.3675	0.9817	31.0891	-30.1486	0.3730	-0.0055
OUT-RIL	Tx303xA188	chain_ordinary_256	Tx303,A188	0.7421	0.9831	23.1996	-22.2970	0.5106	0.2315
OUT-RIL	Tx303xA188	chain_ordinary_5000	Tx303,A188	0.6968	0.9831	22.5901	-21.7049	0.5035	0.1933
OUT-RIL	Tx303xA188	refmap	Tx303,A188	0.3968	0.9831	16.2726	-15.5924	0.4053	-0.0085
OUT-RIL	Tx303xCML459	chain_ordinary_256	Tx303,CML459	0.7262	0.9836	15.8336	-15.0745	0.4997	0.2265
OUT-RIL	Tx303xCML459	chain_ordinary_5000	Tx303,CML459	0.6791	0.9836	16.0936	-15.3370	0.4929	0.1862
OUT-RIL	Tx303xCML459	refmap	Tx303,CML459	0.3893	0.9836	14.8417	-14.1943	0.4042	-0.0149
