arm	error_rate	partial_error_rate	compared_sites	snprc_error_rate	snprc_partial_error_rate	snprc_compared_sites	align_dropped_idx	align_het_scale	imputed_records
A_baseline	0.07313754477250478	0.03657126353178097	156353772	0.041433081596228494	0.020717604108150378	70064231	23	1.0	160580614
B_noerror	0.07854334836121135	0.0392716997741307	156289530	0.04526075622506953	0.022630378112534766	70041185	23	1.0	160580614
C_redraw	0.07169691749548934	0.03584848113958228	156306957	0.03951460429746578	0.019757302148732947	70046026	23	1.0	160580614
