source	row_id	kind	k	credit_carried	credit_background	mean_cardinality	het_frac	mean_switches_per_window	frac_cells_gt1
sim	sim_ind0719		7	0.3985714614391327	0.3084765672683716	8.0341015625	0.883203125	4.77	0.0
sim	sim_ind0720		21	0.33674758672714233	0.3052734136581421	7.98751953125	0.92787109375	4.77	0.0
sim	sim_ind0723		15	0.3525846600532532	0.3074479103088379	8.05580078125	0.92478515625	5.32	0.0
sim	sim_ind0728		7	0.40230751037597656	0.3086753189563751	8.0636328125	0.840390625	5.14	0.0
sim	sim_ind0729		3	0.52608722448349	0.3078310787677765	8.04271484375	0.67330078125	5.28	0.0
sim	sim_ind0734		12	0.3621826171875	0.3062695264816284	8.02142578125	0.916171875	4.99	0.0
sim	sim_ind0741		12	0.36092445254325867	0.30616211891174316	8.0050390625	0.91220703125	5.17	0.0
sim	sim_ind0749		16	0.34818601608276367	0.3093017637729645	8.045390625	0.9401171875	4.96	0.0
sim	sim_ind0757		13	0.3579086661338806	0.306221604347229	8.02125	0.92568359375	4.9	0.0
sim	sim_ind0760		22	0.3369753658771515	0.3126757740974426	8.03880859375	0.9640625	4.88	0.0
sim	sim_ind0766		5	0.4369218945503235	0.30583569407463074	7.99548828125	0.816171875	4.86	0.0
sim	sim_ind0779		17	0.3457559645175934	0.30393412709236145	8.005390625	0.93326171875	4.95	0.0
sim	sim_ind0785		17	0.3451160192489624	0.30807754397392273	8.023515625	0.95736328125	4.89	0.0
sim	sim_ind0791		6	0.41698887944221497	0.30544596910476685	7.9999609375	0.82177734375	5.14	0.0
sim	sim_ind0794		23	0.33476561307907104	0.3038281202316284	8.0034375	0.956796875	5.1	0.0
sim	sim_ind0802		9	0.38211584091186523	0.304937481880188	8.01310546875	0.8842578125	5.12	0.0
sim	sim_ind0816		13	0.36016830801963806	0.30889737606048584	8.08005859375	0.92443359375	5.18	0.0
sim	sim_ind0818		23	0.33586445450782776	0.30591797828674316	8.03080078125	0.94833984375	5.04	0.0
sim	sim_ind0819		15	0.35448047518730164	0.3101150095462799	8.1082421875	0.9235546875	5.03	0.0
sim	sim_ind0820		19	0.3415326476097107	0.3085976541042328	8.032109375	0.96822265625	4.69	0.0
sim	sim_ind0822		16	0.34843504428863525	0.30509278178215027	8.015703125	0.92908203125	4.92	0.0
sim	sim_ind0826		14	0.3525906503200531	0.3073808550834656	8.010078125	0.9266015625	4.97	0.0
sim	sim_ind0830		12	0.3599625527858734	0.30621254444122314	7.9941015625	0.9183984375	5.16	0.0
