assemblyA	assemblyB	depth_per_hap	n_placed	n_unplaced	self_cov_A_pct	self_cov_B_pct	het_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C011-T007	250000	330142	21885	76.90887944983818	74.50792627427184	1.0	316416	0.7632136175161812	0.8711095519822006	0.00011061387540453074
C009-T009	C027-T007	250000	330869	22018	76.83499243951613	74.99180947580645	1.0	317440	0.8810956401209677	0.9320942540322581	8.50554435483871e-05
C009-T009	C050-T007	250000	332908	21507	76.43658309887459	74.71331139469454	1.0	318464	0.8792924788987139	0.9394154441318328	0.00025434586012861737
C076-T198	C081-T199	250000	351785	24127	82.36961649850522	82.19006913303438	1.0	342528	0.9852479213378177	0.9900679652466368	0.0015823523916292975
