n_breakpoints_per_chrom	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
1	0.42724767394822005	0.0	316416	0.45053347491909385	0.7236486144822006	0.02913253438511327
2	0.5346411053802589	0.0	316416	0.5486385012135923	0.7727011276294499	0.022151218648867314
5	0.49999051881067963	0.0	316416	0.5265820944579288	0.7616729242516181	0.030826506877022652
10	0.4740215412621359	0.0	316416	0.4931830248786408	0.7449733894619741	0.02344066039644013
