n_founders	founder_set	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
4	C009-T009+C011-T007+C027-T007+C050-T007	1	0	42100	0.762488501635323	0.0	626176	0.7767464738348324	0.8850985984771055	0.018242474959116926
4	C009-T009+C011-T007+C027-T007+C050-T007	1	1	42101	0.7197066000613246	0.0	626176	0.7314828418847097	0.8624707749897792	0.017051116618969745
4	C009-T009+C011-T007+C027-T007+C050-T007	1	2	42102	0.584137686529027	0.0	626176	0.5927854149632052	0.7931204645339329	0.015854967293540474
4	C009-T009+C011-T007+C027-T007+C050-T007	1	3	42103	0.7683925924979559	0.0	626176	0.7747470359771055	0.8841020735384301	0.012250549366312346
4	C009-T009+C011-T007+C027-T007+C050-T007	1	4	42104	0.5808382946647588	0.0	626176	0.5931223809280458	0.7932881490188062	0.020840785977105477
4	C009-T009+C011-T007+C027-T007+C050-T007	2	0	42200	0.7294961799877351	0.0	626176	0.7513015510016353	0.8723801295482421	0.0268965913736713
4	C009-T009+C011-T007+C027-T007+C050-T007	2	1	42201	0.7609521923548651	0.0	626176	0.7724441690515127	0.8829418566026165	0.01961748773507768
4	C009-T009+C011-T007+C027-T007+C050-T007	2	2	42202	0.821031147792314	0.0	626176	0.8304087029844645	0.9119321085445625	0.016112083503679476
4	C009-T009+C011-T007+C027-T007+C050-T007	2	3	42203	0.7760853178659035	0.0	626176	0.7872770594848733	0.8903543093315618	0.015625
4	C009-T009+C011-T007+C027-T007+C050-T007	2	4	42204	0.7795284392886345	0.0	626176	0.7865887545993459	0.8900125523814391	0.015016544869174161
4	C009-T009+C011-T007+C027-T007+C050-T007	5	0	42500	0.7318405687857726	0.0	626176	0.7494729916189697	0.871453872393704	0.022715658217497957
4	C009-T009+C011-T007+C027-T007+C050-T007	5	1	42501	0.7571944628986099	0.0	626176	0.7727971049672936	0.8831151305703189	0.023114906991005723
4	C009-T009+C011-T007+C027-T007+C050-T007	5	2	42502	0.7966210777800491	0.0	626176	0.8047162459116926	0.8990651190719542	0.016003487837285363
4	C009-T009+C011-T007+C027-T007+C050-T007	5	3	42503	0.6927828597710548	0.0	626176	0.7077594797628781	0.8505979149632052	0.019074509403107114
4	C009-T009+C011-T007+C027-T007+C050-T007	5	4	42504	0.6840329236508585	0.0	626176	0.7046070114472608	0.8489961288838921	0.025221343520032708
4	C009-T009+C011-T007+C027-T007+C050-T007	10	0	43000	0.7260131336876533	0.0	626176	0.7360374718928864	0.8647073666189697	0.0176963026369583
4	C009-T009+C011-T007+C027-T007+C050-T007	10	1	43001	0.760739792007359	0.0	626176	0.7720321443172526	0.8826663749488961	0.017138951349141455
4	C009-T009+C011-T007+C027-T007+C050-T007	10	2	43002	0.7830226645543745	0.0	626176	0.7914500076655765	0.8923265982726901	0.0173880825838103
4	C009-T009+C011-T007+C027-T007+C050-T007	10	3	43003	0.7637820676614882	0.0	626176	0.7756046223426002	0.8844126890842191	0.01625581306214227
4	C009-T009+C011-T007+C027-T007+C050-T007	10	4	43004	0.7336100393499592	0.0	626176	0.737712719746525	0.865494685200327	0.012932466271463614
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	0	62100	0.753701578133228	0.0	972288	0.7665722501974723	0.8808994865718799	0.014580042127435492
