assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C011-T007	1	0	1100	0.553808909789644	0.0	316416	0.5730999696601942	0.7849318618527508	0.028285548139158578
C009-T009	C011-T007	1	1	1101	0.4776559971682848	0.0	316416	0.48530099615695793	0.7410323751011327	0.01603901193365696
C009-T009	C011-T007	1	2	1102	0.5351594103964401	0.0	316416	0.5485531705097088	0.7726584622775081	0.019512287621359224
C009-T009	C011-T007	1	3	1103	0.4605456108414239	0.0	316416	0.4769512287621359	0.7368574914037217	0.025836240898058253
C009-T009	C011-T007	1	4	1104	0.46019164644012944	0.0	316416	0.4768026901294498	0.7367832220873787	0.021964755258899675
C009-T009	C011-T007	2	0	1200	0.4404486498786408	0.0	316416	0.45689535295307443	0.726829553499191	0.027128843042071197
C009-T009	C011-T007	2	1	1201	0.48145795408576053	0.0	316416	0.49431760720064727	0.7455406806229773	0.02194895327669903
C009-T009	C011-T007	2	2	1202	0.528977674959547	0.0	316416	0.5421154429611651	0.7694395985032363	0.024717460558252427
C009-T009	C011-T007	2	3	1203	0.5550414644012945	0.0	316416	0.5605121106391586	0.778637932342233	0.015286837580906149
C009-T009	C011-T007	2	4	1204	0.6114355784789643	0.0	316416	0.619677892394822	0.8082208232200647	0.01647830703883495
C009-T009	C011-T007	5	0	1500	0.5274290807038835	0.0	316416	0.5453548493122977	0.7710593016788025	0.023456462378640776
C009-T009	C011-T007	5	1	1501	0.514819098907767	0.0	316416	0.5294612156148867	0.7631124848300971	0.020665832322006472
C009-T009	C011-T007	5	2	1502	0.5188201608009708	0.0	316416	0.5405226031553398	0.7686431786003236	0.028788051173139158
C009-T009	C011-T007	5	3	1503	0.5166900536003236	0.0	316416	0.5312310376213593	0.7639973958333334	0.021462252224919095
C009-T009	C011-T007	5	4	1504	0.4574168183656958	0.0	316416	0.4819162115695793	0.7393399828074434	0.027666110436893203
C009-T009	C011-T007	10	0	2000	0.5493053448624595	0.0	316416	0.5723003893608414	0.7845320717030745	0.02796950849514563
